Sl No,Measure Name,Formula,Explanation
1,Calendar Table,"CALENDAR(MIN(finance_transactions[transaction_date]),MAX(finance_transactions[transaction_date]))","Creates a date table using the minimum and maximum transaction dates."
2,Month,"FORMAT('Calender Table'[Date],""MMM"")","Displays the month name (Jan, Feb, Mar, etc.)."
3,Month No,"MONTH('Calender Table'[Date])","Returns the month number (1-12) for sorting purposes."
4,Year,"YEAR('Calender Table'[Date])","Extracts the year from the date."
5,Dashboard Title,"""Finance Analysis""","Static dashboard title."
6,Total Amount,"SUM(finance_transactions[amount])","Calculates the total transaction amount."
7,Total Fee,"SUM(finance_transactions[fee_amount])","Calculates the total fee collected."
8,Total Tax,"SUM(finance_transactions[tax_amount])","Calculates the total tax collected."
9,Total Transaction,"DISTINCTCOUNT(finance_transactions[transaction_id])","Counts unique transactions."
10,Avg Transaction Value,"AVERAGE(finance_transactions[amount])","Calculates the average transaction amount."
11,PV Amount,"CALCULATE([Total Amount],SAMEPERIODLASTYEAR('Calender Table'[Date]))","Returns total amount for the same period in the previous year."
12,PV Fees,"CALCULATE([Total Fee],SAMEPERIODLASTYEAR('Calender Table'[Date]))","Returns total fee for the same period in the previous year."
13,PV Tax,"CALCULATE([Total Tax],SAMEPERIODLASTYEAR('Calender Table'[Date]))","Returns total tax for the same period in the previous year."
14,PV Transaction,"CALCULATE([Total Transaction],SAMEPERIODLASTYEAR('Calender Table'[Date]))","Returns transaction count for the same period in the previous year."
15,PV Avg Transaction,"CALCULATE([Avg Transaction Value],SAMEPERIODLASTYEAR('Calender Table'[Date]))","Returns average transaction value for the same period in the previous year."
16,YOY Amount,"[Total Amount]-[PV Amount]","Shows year-over-year change in total amount."
17,YOY Fees,"[Total Fee]-[PV Fees]","Shows year-over-year change in total fees."
18,YOY Tax,"[Total Tax]-[PV Tax]","Shows year-over-year change in total tax."
19,YOY Transaction,"[Total Transaction]-[PV Transaction]","Shows year-over-year change in transaction count."
20,YOY Avg Transaction,"[Avg Transaction Value]-[PV Avg Transaction]","Shows year-over-year change in average transaction value."
21,YOY% Amount,"DIVIDE([YOY Amount],[PV Amount])","Calculates percentage growth of total amount."
22,YOY% Fees,"DIVIDE([YOY Fees],[PV Fees])","Calculates percentage growth of total fees."
23,YOY% Tax,"DIVIDE([YOY Tax],[PV Tax])","Calculates percentage growth of total tax."
24,YOY% Transaction,"DIVIDE([YOY Transaction],[PV Transaction])","Calculates percentage growth of total transactions."
25,YOY% Avg Transaction,"DIVIDE([YOY Avg Transaction],[PV Avg Transaction])","Calculates percentage growth of average transaction value."
26,Selected Year,"SELECTEDVALUE('Calender Table'[Year])","Returns the year selected by the user."
27,Dynamic Metric,"Field Parameter","Allows users to switch between Amount, Fee, Tax, and Transaction metrics."
28,Dynamic Title,"SWITCH(...)","Changes chart titles dynamically based on selected metric."
29,Selected Dynamic Measure,"SELECTEDVALUE('Dynamic Metric'[Dynamic Metric])","Returns the metric selected by the user."